,TP9,AF7,AF8,TP10,Right AUX,timestamps
210,0.000,-0.488,-21.484,-1000.000,0.000,1731707843.891
211,0.000,-23.926,-23.438,-1000.000,0.000,1731707843.895
212,0.000,-44.434,-24.902,-1000.000,0.000,1731707843.898
213,0.000,-20.020,-21.973,-1000.000,0.000,1731707843.902
214,0.000,-11.230,-15.137,-1000.000,0.000,1731707843.905
215,0.000,-14.648,-11.719,-1000.000,0.000,1731707843.909
216,-929.199,-15.137,-14.160,-1000.000,0.000,1731707843.917
217,-1000.000,-8.789,-14.160,-1000.000,0.000,1731707843.920
218,-425.781,-8.301,-15.625,-1000.000,0.000,1731707843.924
219,952.637,-3.418,-11.230,-1000.000,0.000,1731707843.927
220,990.723,-4.883,-11.719,-1000.000,0.000,1731707843.931
221,926.270,-21.973,-23.926,-1000.000,0.000,1731707843.935
222,982.422,-19.043,-20.508,-1000.000,0.000,1731707843.938
223,970.215,-24.414,-17.578,-1000.000,0.000,1731707843.942
224,970.215,-36.621,-21.484,-1000.000,0.000,1731707843.945
225,970.215,-24.902,-24.414,-1000.000,0.000,1731707843.949
226,983.398,-18.066,-26.367,-1000.000,0.000,1731707843.953
227,907.715,-24.414,-21.973,-1000.000,0.000,1731707843.956
228,-946.777,-27.344,-21.484,-1000.000,0.000,1731707843.962
229,687.988,-28.809,-21.484,-1000.000,0.000,1731707843.966
230,-723.145,-31.738,-22.949,-1000.000,0.000,1731707843.969
231,-1000.000,-22.461,-20.020,-1000.000,0.000,1731707843.973
232,-939.941,-24.902,-20.020,-1000.000,0.000,1731707843.977
233,-1000.000,-30.273,-26.367,-1000.000,0.000,1731707843.980
234,-1000.000,-20.508,-31.738,-1000.000,0.000,1731707843.984
235,-1000.000,-16.113,-30.273,-1000.000,0.000,1731707843.987
236,-1000.000,-22.461,-22.949,-1000.000,0.000,1731707843.991
237,-1000.000,-27.344,-22.461,-1000.000,0.000,1731707843.995
238,-1000.000,-31.738,-25.391,-1000.000,0.000,1731707843.998
239,-1000.000,-32.227,-27.832,-1000.000,0.000,1731707844.002
240,-1000.000,-22.949,-28.320,-1000.000,0.000,1731707844.008
241,-1000.000,-22.949,-26.367,-1000.000,0.000,1731707844.011
242,-1000.000,-24.414,-20.996,-1000.000,0.000,1731707844.015
243,-1000.000,-21.484,-22.949,-1000.000,0.000,1731707844.019
244,-1000.000,-19.531,-23.926,-1000.000,0.000,1731707844.022
245,-1000.000,-18.555,-21.973,-1000.000,0.000,1731707844.026
246,-1000.000,-24.414,-27.344,-1000.000,0.000,1731707844.029
247,-1000.000,-31.738,-34.180,-1000.000,0.000,1731707844.033
248,-1000.000,-29.297,-33.203,-1000.000,0.000,1731707844.037
249,-1000.000,-23.926,-32.227,-1000.000,0.000,1731707844.040
250,-1000.000,-22.461,-29.785,-1000.000,0.000,1731707844.044
251,-1000.000,-22.461,-32.715,-1000.000,0.000,1731707844.047
252,-1000.000,-22.461,-39.551,-1000.000,0.000,1731707844.053
253,-1000.000,-24.414,-36.133,-1000.000,0.000,1731707844.057
254,-1000.000,-24.902,-35.645,-1000.000,0.000,1731707844.060
255,-1000.000,-31.738,-39.551,-1000.000,0.000,1731707844.064
256,-1000.000,-35.645,-40.039,-1000.000,0.000,1731707844.068
257,-1000.000,-27.344,-37.109,-1000.000,0.000,1731707844.071
258,-1000.000,-17.090,-33.203,-1000.000,0.000,1731707844.075
259,-1000.000,-20.020,-33.691,-1000.000,0.000,1731707844.079
260,-1000.000,-27.344,-32.227,-1000.000,0.000,1731707844.082
261,-1000.000,-21.484,-30.273,-1000.000,0.000,1731707844.086
262,-1000.000,-17.090,-28.809,-1000.000,0.000,1731707844.089
263,-1000.000,-19.043,-30.273,-1000.000,0.000,1731707844.093
264,-1000.000,-25.879,-35.156,-1000.000,0.000,1731707844.100
265,-1000.000,-26.367,-30.762,-1000.000,0.000,1731707844.104
266,-1000.000,-20.508,-22.949,-1000.000,0.000,1731707844.107
267,-1000.000,-21.973,-23.438,-1000.000,0.000,1731707844.111
268,-1000.000,-23.926,-31.738,-1000.000,0.000,1731707844.115
269,-1000.000,-15.625,-28.809,-1000.000,0.000,1731707844.118
270,-1000.000,-7.812,-21.973,-1000.000,0.000,1731707844.122
271,-1000.000,-12.695,-24.414,-1000.000,0.000,1731707844.126
272,-1000.000,-27.832,-20.508,-1000.000,0.000,1731707844.129
273,-1000.000,-39.551,-19.531,-1000.000,0.000,1731707844.133
274,-1000.000,-26.855,-18.066,-1000.000,0.000,1731707844.136
275,-1000.000,-27.344,-19.043,-1000.000,0.000,1731707844.140
276,0.000,-39.551,-23.438,-1000.000,0.000,1731707844.147
277,0.000,-29.785,-25.879,-1000.000,0.000,1731707844.150
278,0.000,-23.926,-25.391,-1000.000,0.000,1731707844.154
279,0.000,-26.855,-23.438,-1000.000,0.000,1731707844.158
280,0.000,-29.785,-28.320,-1000.000,0.000,1731707844.161
281,0.000,-24.902,-27.344,-1000.000,0.000,1731707844.165
282,0.000,-15.625,-24.902,-1000.000,0.000,1731707844.169
283,0.000,-15.625,-20.020,-1000.000,0.000,1731707844.172
284,0.000,-43.457,-15.137,-1000.000,0.000,1731707844.176
285,0.000,-56.152,-21.484,-1000.000,0.000,1731707844.180
286,0.000,-21.484,-19.531,-1000.000,0.000,1731707844.183
287,0.000,-12.695,-15.137,-1000.000,0.000,1731707844.187
288,-1000.000,-18.066,-18.555,-1000.000,0.000,1731707844.193
289,-1000.000,-20.996,-16.113,-1000.000,0.000,1731707844.197
290,-1000.000,-15.625,-15.137,-1000.000,0.000,1731707844.201
291,-1000.000,-7.324,-17.578,-1000.000,0.000,1731707844.204
292,-1000.000,-17.090,-18.066,-1000.000,0.000,1731707844.208
293,-1000.000,-21.484,-23.438,-1000.000,0.000,1731707844.212
294,-1000.000,-10.254,-25.391,-1000.000,0.000,1731707844.215
295,-1000.000,-8.789,-20.508,-1000.000,0.000,1731707844.219
296,-1000.000,-46.387,-23.438,-1000.000,0.000,1731707844.223
