,TP9,AF7,AF8,TP10,Right AUX,timestamps
325,900.879,83.984,92.773,910.156,0.000,1731708175.137
326,-891.113,64.453,72.754,-895.020,0.000,1731708175.140
327,299.805,40.039,74.219,174.316,0.000,1731708175.144
328,-1000.000,23.438,68.848,-1000.000,0.000,1731708175.148
329,-1000.000,34.180,71.777,-982.910,0.000,1731708175.151
330,-979.492,45.898,73.730,-982.910,0.000,1731708175.155
331,-938.965,24.414,80.566,-936.523,0.000,1731708175.159
332,-1000.000,17.090,75.684,-1000.000,0.000,1731708175.162
333,-633.301,23.438,53.711,-407.715,0.000,1731708175.166
334,813.477,37.109,35.156,959.961,0.000,1731708175.170
335,-968.262,45.410,42.969,987.793,0.000,1731708175.173
336,911.621,40.527,61.523,933.594,0.000,1731708175.179
337,984.863,27.344,47.852,958.008,0.000,1731708175.183
338,909.180,-0.488,13.184,956.543,0.000,1731708175.187
339,-893.066,-3.418,2.441,-999.023,0.000,1731708175.190
340,166.992,2.441,24.414,-172.852,0.000,1731708175.194
341,-1000.000,-10.254,57.129,-1000.000,0.000,1731708175.198
342,-980.957,-20.508,70.312,-953.613,0.000,1731708175.201
343,-990.234,-17.090,62.012,-1000.000,0.000,1731708175.205
344,-936.035,3.906,44.434,-932.129,0.000,1731708175.209
345,-1000.000,-2.930,45.898,-1000.000,0.000,1731708175.212
346,-652.344,-11.719,49.805,-404.297,0.000,1731708175.216
347,795.410,1.465,42.480,960.449,0.000,1731708175.220
348,-964.355,6.348,37.109,987.305,0.000,1731708175.225
349,925.293,1.465,33.203,939.453,0.000,1731708175.229
350,917.480,-8.789,28.809,911.621,0.000,1731708175.233
351,-932.617,-9.766,20.508,-905.273,0.000,1731708175.236
352,657.227,-3.418,0.977,455.078,0.000,1731708175.240
353,-787.598,-37.109,-6.348,-937.012,0.000,1731708175.244
354,-1000.000,-70.801,1.953,-1000.000,0.000,1731708175.248
355,-938.965,-40.039,9.277,-952.637,0.000,1731708175.251
356,-1000.000,-19.531,-4.395,-1000.000,0.000,1731708175.255
357,-925.781,-13.184,-20.508,-933.594,0.000,1731708175.259
358,-1000.000,-11.230,-7.812,-1000.000,0.000,1731708175.262
359,-532.715,-5.371,4.395,-314.453,0.000,1731708175.266
360,0.000,15.137,1.465,-999.023,0.000,1731708175.273
361,0.000,4.395,13.184,971.680,0.000,1731708175.276
362,0.000,-4.883,-2.441,945.801,0.000,1731708175.280
363,0.000,-10.742,-13.184,910.645,0.000,1731708175.284
364,0.000,-19.043,1.465,-907.715,0.000,1731708175.287
365,0.000,-9.277,3.906,454.590,0.000,1731708175.291
366,0.000,-6.348,7.324,-929.688,0.000,1731708175.295
367,0.000,-19.531,6.348,-1000.000,0.000,1731708175.298
368,0.000,-24.902,10.742,-957.031,0.000,1731708175.302
369,0.000,-23.926,4.883,-995.605,0.000,1731708175.306
370,0.000,-14.648,-2.930,-971.191,0.000,1731708175.310
371,0.000,-4.883,18.555,-1000.000,0.000,1731708175.313
372,-199.219,2.930,40.039,47.852,0.000,1731708175.320
373,-953.125,8.789,25.391,-923.828,0.000,1731708175.323
374,950.684,-9.766,-22.461,928.223,0.000,1731708175.327
375,959.473,-13.672,-35.645,968.750,0.000,1731708175.331
376,910.645,-13.184,-8.301,903.320,0.000,1731708175.334
377,-941.406,-21.484,-1.465,-899.414,0.000,1731708175.338
378,692.383,-23.438,2.441,388.184,0.000,1731708175.342
379,-746.094,-29.785,6.836,-978.516,0.000,1731708175.346
380,-1000.000,-25.391,-6.836,-1000.000,0.000,1731708175.349
381,-944.336,-12.695,-5.859,-968.750,0.000,1731708175.353
382,-987.793,-13.672,3.418,-957.520,0.000,1731708175.357
383,-986.328,-20.996,2.441,-1000.000,0.000,1731708175.360
